1. Ekonometri, İstatistik ve Yöneylem bilim dallarının temel kavramlarını ve kuramlarını anlayabilme.
2. Kamu ve özel kesimin ihtiyaç duyduğu nitelikli elemanlarda aranan; ekonometri, istatistik ve yöneylem, iktisat, maliye, hukuk, işletme, muhasebe bilgisine sahip olma ve bunları kullanabilme.
3. Ekonometri, İstatistik ve Yöneylem alanlarında kuramsal bilgileri analiz etme, değerlendirme ve çözüm önerileri üretebilme.
4. Ekonometri, İstatistik ve Yöneylem alanlarında sorumluluk alma, planlayabilme ve sorumlulukları bağımsız olarak yürütebilme.
5. Yaşam boyu öğrenme ve sorgulama bilinci ile Ekonometri, İstatistik ve Yöneylem alanlarında alternatif çözümler üretebilme.
6. Öğrenim sürecinde elde edilen bilgileri neden-sonuç ilişkileri ile değerlendirebilmek; hangi bilgiye nerede, ne zaman ve niçin ihtiyaç duyulacağını öngörebilme.
7. Ekonometri, İstatistik ve Yöneylem alanlarıyla ilgili bilgi ve uygulamaları takım çalışması halinde geliştirebilme, etkinliklere dönüştürebilme ve paylaşabilme.
8. Türkçe yazılı ve sözlü iletişim yeterliliğine sahip olma; alanıyla ilgili iletişim kurabilecek düzeyde bir yabancı dili kullanabilme.
9. Toplumsal, bilimsel ve mesleki etik değerlerin bilincinde olma, değişime ve yeniliğe açık olma.
10. Güncel Ekonometri, İstatistik ve Yöneylem konularına ilişkin görüşlerini ortaya koyabilme, geliştirebilme ve olayları yorumlamada kullanabilme.
11. Ekonometri, İstatistik ve Yöneylem alanlarındaki bilgisayar programlarını kullanmada gerekli yetkinliğe sahip olma.
12. Güncel ekonomik ve sosyal konularda ilgi duyduğu bir soruna ilişkin bilimsel bir araştırma yapabilme, araştırma sonuçlarını analiz edebilme ve değerlendirebilme bilgi ve becerisine sahip olabilme.
Program Yeterliliği	TYYÇ-1 BİLGİ (Kuramsal - Uygulamalı)	TYYÇ-2 BECERİ (Bilişsel - Uygulamalı)	TYYÇ-3 YETKİNLİK (Bağımsız Çalışabilme ve Sorumluluk Alabilme)	TYYÇ-4 YETKİNLİK (Öğrenme Yetkinliği)	TYYÇ-5 YETKİNLİK (İletişim ve Sosyal Yetkinlik)	TYYÇ-6 YETKİNLİK (Alana Özgü Yetkinlik)
1	Ekonometri, İstatistik ve Yöneylem bilim dallarının temel kavramlarını ve kuramlarını anlayabilme.	1					
2	Kamu ve özel kesimin ihtiyaç duyduğu nitelikli elemanlarda aranan; ekonometri, istatistik ve yöneylem, iktisat, maliye, hukuk, işletme, muhasebe bilgisine sahip olma ve bunları kullanabilme.	1	1				
3	Ekonometri, İstatistik ve Yöneylem alanlarında kuramsal bilgileri analiz etme, değerlendirme ve çözüm önerileri üretebilme.		2		1		
4	Ekonometri, İstatistik ve Yöneylem alanlarında sorumluluk alma, planlayabilme ve sorumlulukları bağımsız olarak yürütebilme.			1,2			
5	Yaşam boyu öğrenme ve sorgulama bilinci ile Ekonometri, İstatistik ve Yöneylem alanlarında alternatif çözümler üretebilme.				3	2	
6	Öğrenim sürecinde elde edilen bilgileri neden-sonuç ilişkileri ile değerlendirebilmek; hangi bilgiye nerede, ne zaman ve niçin ihtiyaç duyulacağını öngörebilme.				1,2		1
7	Ekonometri, İstatistik ve Yöneylem alanlarıyla ilgili bilgi ve uygulamaları takım çalışması halinde geliştirebilme, etkinliklere dönüştürebilme ve paylaşabilme.		1	2		2	
8	Türkçe yazılı ve sözlü iletişim yeterliliğine sahip olma; alanıyla ilgili iletişim kurabilecek düzeyde bir yabancı dili kullanabilme.					1,4	
9	Toplumsal, bilimsel ve mesleki etik değerlerin bilincinde olma, değişime ve yeniliğe açık olma.						1,2
10	Güncel Ekonometri, İstatistik ve Yöneylem konularına ilişkin görüşlerini ortaya koyabilme, geliştirebilme ve olayları yorumlamada kullanabilme.						1,2
11	Ekonometri, İstatistik ve Yöneylem alanlarındaki bilgisayar programlarını kullanmada gerekli yetkinliğe sahip olma.						1
12	Güncel ekonomik ve sosyal konularda ilgi duyduğu bir soruna ilişkin bilimsel bir araştırma yapabilme, araştırma sonuçlarını analiz edebilme ve değerlendirebilme bilgi ve becerisine sahip olabilme.	1,2					
