Ana içeriğe atla	#main-content
Hızlı Bağlantılar	#pageQL
	https://x.com/uludag_iibf
	https://www.instagram.com/buu.iibf
	#pageFooter
	/tr/iibf
İKTİSADİ VE İDARİ BİLİMLER FAKÜLTESİ	/tr/iibf
	/50yil
	/
FAKÜLTE	#
TANITIM	#
BUÜ TANITIM	/adayogrenci
FAKÜLTE TANITIMI	/iibf/fakulte-tanitimi-76825
FAKÜLTE TARİHÇESİ	dosyalar/iibf/Fakulte/%C4%B0%C4%B0BF%20Fak%C3%BClte%20Tarih%C3%A7esi.pdf
BÖLÜM TANITIMLARI	/iibf/bolum-tanitimlari-78946
DEKANLARIMIZ	iibf/dekanlarimiz-92593
TANITIM FİLMİ	https://uludag.edu.tr/dosyalar\iibf/Tan%C4%B1t%C4%B1m/%C4%B0ktisadi%20ve%20%C4%B0dari%20Bilimler%20Fak%C3%BCltesi%20(1).mp4
50.YIL KİTABI	iibf/50-yil-kitabi-84577
İ.İ.B.F. DERGİSİ 50. YIL ÖZEL SAYISI	iibf/i-i-b-f-dergisi-50-yil-ozel-sayisi-96570
YÖNETİM	#
DEKANLIK	/iibf/organizasyon/iktisadi-ve-idari-bilimler-fakultesi-dekanligi
KURULLAR VE KOMİSYONLAR	/iibf/kurul/kurullar-ve-komisyonlar
BUÜ STRATEJİK PLAN	https://uludag.edu.tr/dosyalar/iibf/sp_24_28_1.pdf
ORGANİZASYON ŞEMASI	https://uludag.edu.tr/dosyalar/iibf/Koordinasyon.pdf
İDARİ BİRİMLER	/iibf/organizasyon/idari-personel
İÇ KONTROL SİSTEMİ	#
BİRİM GÖREV TANIMLARI	https://uludag.edu.tr/dosyalar/iibf/Tan%C4%B1t%C4%B1m/gorev_tanimlari.pdf
KALİTE	#
KALİTE KOORDİNATÖRLÜĞÜ	/kalite
BİRİM KOMİSYONLARI VE KURULLARI	#
KALİTE KOMİSYONU	/iibf/kurul/kalite-komisyonu
İÇ KONTROL KOMİSYONU	/iibf/komisyon/ic-kontrol-komisyonu
BİRİM ANALİZ RAPORLARI	#
BİRİM İÇ DEĞERLENDİRME RAPORU (BİDR)	/iibf/birim-ic-degerlendirme-raporu-bidr-78974
2025 FAALİYET RAPORU	iibf/2025-faaliyet-raporu-92114
BUÜ Stratejik Plan	https://uludag.edu.tr/dosyalar/iibf/sp_24_28_1.pdf
İYİLEŞTİRMELER	#
ANKETLER	https://www.uludag.edu.tr/dosyalar/iibf/KAL%C4%B0TE/%C4%B0%C4%B0BF-Memnuniyet%20Anketi%20Analiz%20ve%20De%C4%9Ferlendirme%20Raporu%20Lisans_%C3%96nlisans-2024.pdf
SÜREKLİ İYİLEŞTİRME FORMU (SİF)	/dosyalar/iibf/KALİTE/FR%20LKYS%20078%20Sürekli%20İyileştirme%20Formu-İİBF-2025%20(1).pdf
İYİLEŞTİRME FAALİYETLERİ ÖRNEKLERİ	/iibf/iyilestirme-faaliyetleri-ornekleri-84098
AKREDİTASYON	#
ETİK DAVRANIŞ İLKELERİ	iibf/etik-davranis-ilkeleri-90573
PERSONEL	#
AKADEMİK PERSONEL	/iibf/akademikpersonel
İDARİ PERSONEL	/iibf/organizasyon/idari-personel
ETİK DAVRANIŞ İLKELERİ	iibf/etik-davranis-ilkeleri-90573
BÖLÜMLER	#
İKTİSAT BÖLÜMÜ	/iktisat
MALİYE BÖLÜMÜ	/maliye
ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ BÖLÜMÜ	/ceko
İŞLETME BÖLÜMÜ	/isletme
SİYASET BİLİMİ VE KAMU YÖNETİMİ BÖLÜMÜ	/sbky
ULUSLARARASI İLİŞKİLER BÖLÜMÜ	/uluslar
EKONOMETRİ BÖLÜMÜ	/ekonometri
ÖĞRENCİ	#
YAŞAM	#
SAĞLIK, KÜLTÜR VE SPOR	https://www.uludag.edu.tr/saglikkultur
BESLENME	https://www.uludag.edu.tr/saglikkultur/beslenme-hizmeti-76609
BARINMA	https://www.uludag.edu.tr/saglikkultur/ogrenci-yurtlarimiz-69551
ULAŞIM	https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3046.2203626435867!2d28.869964784545154!3d40.22640239791046!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14ca11ee968e6897%3A0xa1108911db539788!2sUluda%C4%9F%20%C3%9Cniversitesi%20%C4%B0ktisadi%20ve%20%C4%B0dari%20Bilimler%20Fak%C3%BCltesi!5e0!3m2!1str!2str!4v1738155450488!5m2!1str!2str
BİLGİ	#
AKADEMİK TAKVİM	/oidb/akademik-takvim-69873
ÖĞRENCİ DEĞİŞİM PROGRAMLARI	#
ERASMUS	https://www.uludag.edu.tr/erasmus
MEVLANA	https://www.uludag.edu.tr/mevlana
FARABİ	https://www.uludag.edu.tr/farabi
DİLEKÇE VE FORMLAR	https://kalite.uludag.edu.tr/kiksis/dokuman_main.php
ÖĞRENCİ TOPLULUKLARI	https://www.uludag.edu.tr/saglikkultur/ogrenci-topluluklari-deneme-76647
YÖNETMELİK VE YÖNERGELER	https://kms.kaysis.gov.tr/Home/Goster/167318
Özel Ögrenci Statüsü	https://www.uludag.edu.tr/oidb/ozel-ogrenci-statusu-7322
DİJİTAL ULUDAĞ	#
UNİSİS	https://unisis.uludag.edu.tr
UKEY	https://ukey.uludag.edu.tr
MAİL	https://kullanicigirisi.uludag.edu.tr
OFFİCE 365	https://www.uludag.edu.tr/bilgiislem/microsoft-office-365-hesabi-olusturma-7526
EDUROAM	https://uludag.edu.tr/konu/eduroam-baglanti-adimlari-6075
ONLINE KÜTÜPHANE	https://uludag.edu.tr/kutuphane
MEZUN	#
MEZUN TAKİP SİSTEMİ	#
SİSTEME KAYIT	https://kalite.uludag.edu.tr/mezun/index.php
İSTATİSTİKLER	#
MEZUN İLETİŞİMİ	#
İŞ İLANLARI	#
ETKİNLİKLER	#
BAŞARI HİKAYELERİ	#
ADAY ÖĞRENCİ	#
NEDEN BUÜ?	#
BUÜ TANITIM	https://www.uludag.edu.tr/adayogrenci
FAKÜLTE TANITIMI	/iibf/fakulte-tanitimi-76825
TANITIM FİLMİ VE BROŞÜR	/iibf/tanitim-filmi-ve-brosur-78580
BÖLÜM TANITIMI	/iibf/bolum-tanitimlari-78946
KAMPÜSTE YAŞAM	#
SOSYAL İMKANLAR	#
SPORTİF İMKANLAR	https://www.uludag.edu.tr/saglikkultur/spor-tesislerimiz-69554
SANATSAL İMKANLAR	#
KÜLTÜREL İMKANLAR	#
DEĞİŞİM PROGRAMLARI	#
ERASMUS	/erasmus
FARABİ	/farabi
MEVLANA	/mevlana
	/kalite/akredite-olmus-bolum-program-bilgileri-59581
	https://internet.uludag.edu.tr/
	https://uludag.edu.tr/butad-hgs-park-87448
Iktisat Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/337?AyID=23
Maliye Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/338?AyID=23
Çalisma Ekonomisi ve Endüstri Iliskileri Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/339?AyID=23
Isletme Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/340?AyID=23
Kamu Yönetimi Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/341?AyID=23
Uluslararasi Iliskiler Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/342?AyID=23
Ekonometri Bölümü Egitim Plani	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/343?AyID=23
Iktisat Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/337?AyID=23
Maliye Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/338?AyID=23
Çalisma Ekonomisi ve Endüstri Iliskileri Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/339?AyID=23
Isletme Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/340?AyID=23
Kamu Yönetimi Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/341?AyID=23
Uluslararasi Iliskiler Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/342?AyID=23
Ekonometri Bölümü Ders Içerikleri	http://bilgipaketi.uludag.edu.tr/Programlar/Detay/343?AyID=23
	#
	#
	#
	#
FAKÜLTE TANITIM	https://uludag.edu.tr/dosyalar/iibf/Fakulte/%F0%9F%93%8C%20%C3%9Cniversitemizi%20Tan%C4%B1yoruz%20serisinin%209.%20b%C3%B6l%C3%BCm%C3%BCnde%20%C4%B0ktisadi%20ve%20%C4%B0dari%20Bilimler%20Fak%C3%BCltemizdeyiz.Vi.mp4
Öğrenci İletişim	/iibf/iletisim-adresleri-79200
Mezun Öğrenci Talep Formu	https://www.uludag.edu.tr/iibf/mezun-durumda-olan-ogrencilerimizin-dikkatine-84561
Bilgi Paketi	https://bilgipaketi.uludag.edu.tr/
Öğrenci Kimlik Kartı	https://uludag.edu.tr/oidb/ogrenci-kimlik-karti-7324
Doküman/Kiksis	https://kalite.uludag.edu.tr/kiksis/dokuman_main.php
Öğrenci Oryantasyon El Kitabı	/iibf/oryantasyon-el-kitabi-79025
Akademik Takvim	https://www.uludag.edu.tr/oidb/akademik-takvim-69873
Unisis	https://unisis.uludag.edu.tr/
Ukey	https://ukey.uludag.edu.tr/
Rehber	https://uludag.edu.tr/telefon
Şifre İşlemleri	https://parola.uludag.edu.tr/giris?ReturnUrl=%2F
İİBF Dergi	https://dergipark.org.tr/tr/pub/bujes
